state,abbreviation,district,PVI
New York,NY,16,21,
New York,NY,17,5,
New York,NY,18,0,
New York,NY,19,1,
New York,NY,20,7,
New York,NY,21,0,
New York,NY,22,-3,
New York,NY,23,-3,
New York,NY,24,5,
New York,NY,25,7,
New York,NY,26,12,
New York,NY,27,-8,
North Carolina,NC,1,19,
North Carolina,NC,2,-10,
North Carolina,NC,3,-11,
North Carolina,NC,4,20,
North Carolina,NC,5,-11,
North Carolina,NC,6,-10,
North Carolina,NC,7,-12,
North Carolina,NC,8,-11,
North Carolina,NC,9,-8,
North Carolina,NC,10,-11,
North Carolina,NC,11,-13,
North Carolina,NC,12,26,
North Carolina,NC,13,-8,
North Dakota,ND,1,-10,
Ohio,OH,1,-6,
Ohio,OH,2,-8,
Ohio,OH,3,17,
Ohio,OH,4,-9,
Ohio,OH,5,-7,
Ohio,OH,6,-8,
Ohio,OH,7,-6,
Ohio,OH,8,-15,
Ohio,OH,9,15,
Ohio,OH,10,-3,
Ohio,OH,11,30,
Ohio,OH,12,-8,
Ohio,OH,13,11,
Ohio,OH,14,-4,
Ohio,OH,15,-6,
Ohio,OH,16,-6,
Oklahoma,OK,1,-18,
Oklahoma,OK,2,-20,
Oklahoma,OK,3,-26,
Oklahoma,OK,4,-19,
Oklahoma,OK,5,-12,
Oregon,OR,1,7,
Oregon,OR,2,-10,
Oregon,OR,3,22,
Oregon,OR,4,2,
Oregon,OR,5,0,
Pennsylvania,PA,1,28,
Pennsylvania,PA,2,38,
Pennsylvania,PA,3,-8,
Pennsylvania,PA,4,-9,
Pennsylvania,PA,5,-8,
Pennsylvania,PA,6,-2,
Pennsylvania,PA,7,-2,
Pennsylvania,PA,8,-1,
Pennsylvania,PA,9,-14,
Pennsylvania,PA,10,-12,
Pennsylvania,PA,11,-6,
Pennsylvania,PA,12,-9,
Pennsylvania,PA,13,13,
Pennsylvania,PA,14,15,
Pennsylvania,PA,15,-2,
Pennsylvania,PA,16,-4,
Pennsylvania,PA,17,4,
Pennsylvania,PA,18,-10,
Rhode Island,RI,1,15,
Rhode Island,RI,2,8,
South Carolina,SC,1,-11,
South Carolina,SC,2,-16,
South Carolina,SC,3,-18,
South Carolina,SC,4,-15,
South Carolina,SC,5,-9,
South Carolina,SC,6,21,
South Carolina,SC,7,-7,
South Dakota,SD,1,-10,
Tennessee,TN,1,-25,
Tennessee,TN,2,-20,
Tennessee,TN,3,-16,
Tennessee,TN,4,-18,
Tennessee,TN,5,5,
Tennessee,TN,6,-21,
Tennessee,TN,7,-18,
Tennessee,TN,8,-19,
Tennessee,TN,9,25,
Texas,TX,1,-24,
Texas,TX,2,-16,
Texas,TX,3,-17,
Texas,TX,4,-25,
Texas,TX,5,-17,
Texas,TX,6,-11,
Texas,TX,7,-13,
Texas,TX,8,-29,
Texas,TX,9,25,
Texas,TX,10,-11,
Texas,TX,11,-31,
Texas,TX,12,-19,
Texas,TX,13,-32,
Texas,TX,14,-12,
Texas,TX,15,5,
Texas,TX,16,12,
Texas,TX,17,-13,
Texas,TX,18,24,
Texas,TX,19,-26,
Texas,TX,20,6,
Texas,TX,21,-12,
Texas,TX,22,-15,
Texas,TX,23,-3,
Texas,TX,24,-13,
Texas,TX,25,-12,
Texas,TX,26,-20,
Texas,TX,27,-13,
Texas,TX,28,7,
Texas,TX,29,12,
Texas,TX,30,27,
Texas,TX,31,-12,
Texas,TX,32,-10,
Texas,TX,33,18,
Texas,TX,34,8,
Texas,TX,35,11,
Texas,TX,36,-25,
Utah,UT,1,-27,
Utah,UT,2,-18,
Utah,UT,3,-28,
Utah,UT,4,-16,
Vermont,VT,1,16,
Virginia,VA,1,-6,
Virginia,VA,2,-2,
Virginia,VA,3,27,
Virginia,VA,4,-4,
Virginia,VA,5,-5,
Virginia,VA,6,-12,
Virginia,VA,7,-10,
Virginia,VA,8,16,
Virginia,VA,9,-15,
Virginia,VA,10,-2,
Virginia,VA,11,10,
Washington,WA,1,4,
Washington,WA,2,8,
Washington,WA,3,-2,
Washington,WA,4,-13,
Washington,WA,5,-7,
Washington,WA,6,5,
Washington,WA,7,29,
Washington,WA,8,-1,
Washington,WA,9,17,
Washington,WA,10,5,
West Virginia,WV,1,-14,
West Virginia,WV,2,-11,
West Virginia,WV,3,-14,
Wisconsin,WI,1,-3,
Wisconsin,WI,2,17,
Wisconsin,WI,3,5,
Wisconsin,WI,4,23,
Wisconsin,WI,5,-13,
Wisconsin,WI,6,-5,
Wisconsin,WI,7,-2,
Wisconsin,WI,8,-2,
Wyoming,WY,1,-22,
